訂單號,日期,客戶,業務員,產品,數量,單價(萬),金額(萬),付款方式,備註
S0001,2026-02-24,晶碩科技,小李,保固延長 H,4,8.0,32.0,現金,
S0002,2026-02-09,合誠塑膠,美玲,維修服務 F,5,12.0,60.0,現金,新客戶
S0003,2026-02-21,元利國際,大維,保固延長 H,6,60.0,360.0,月結 30,
S0004,2026-02-20,東興倉儲,美玲,維修服務 F,4,25.0,100.0,月結 60,介紹來的
S0005,2026-02-16,宏豐建材,志強,零組件 C,8,5.0,40.0,月結 30,介紹來的
S0006,2026-02-03,東興倉儲,美玲,顧問服務 G,6,40.0,240.0,票期 90,介紹來的
S0007,2026-02-22,一鳴電子,美玲,零組件 D,6,8.0,48.0,現金,
S0008,2026-02-01,宏豐建材,大維,零組件 D,7,5.0,35.0,月結 30,合約續約
S0009,2026-02-09,宏豐建材,美玲,維修服務 F,4,25.0,100.0,月結 30,長期客戶
S0010,2026-02-02,中華光電,美玲,維修服務 F,2,40.0,80.0,月結 30,
S0011,2026-02-16,合誠塑膠,小李,保固延長 H,8,80.0,640.0,月結 30,急件
S0012,2026-02-23,聯興食品,小李,維修服務 F,6,12.0,72.0,月結 30,長期客戶
S0013,2026-02-15,立達企管,志強,顧問服務 G,5,40.0,200.0,現金,合約續約
S0014,2026-02-26,合誠塑膠,阿明,維修服務 F,4,5.0,20.0,現金,合約續約
S0015,2026-02-27,台霖機械,大維,工業機台 A,4,80.0,320.0,票期 90,急件
S0016,2026-02-11,華麗百貨,志強,維修服務 F,8,18.0,144.0,月結 60,合約續約
S0017,2026-02-20,正茂興業,阿明,維修服務 F,5,60.0,300.0,月結 60,
S0018,2026-02-10,寶聯實業,怡君,維修服務 F,5,40.0,200.0,票期 90,介紹來的
S0019,2026-03-09,安和五金,阿明,零組件 D,5,13.2,66.0,月結 30,合約續約
S0020,2026-03-14,美達工業,阿明,耗材 E,4,44.0,176.0,月結 60,
S0021,2026-03-17,合誠塑膠,小李,零組件 D,6,13.2,79.2,月結 30,合約續約
S0022,2026-03-24,三和化工,美玲,零組件 C,3,44.0,132.0,月結 60,長期客戶
S0023,2026-03-25,華麗百貨,美玲,維修服務 F,7,66.0,462.0,月結 60,
S0024,2026-03-22,遠東紡織,小李,工業機台 A,3,27.5,82.5,票期 90,合約續約
S0025,2026-03-03,永泰企業,志強,顧問服務 G,2,13.2,26.4,票期 90,急件
S0026,2026-03-07,台霖機械,小李,維修服務 F,8,88.0,704.0,月結 60,
S0027,2026-03-01,宏豐建材,美玲,顧問服務 G,2,19.8,39.6,現金,新客戶
S0028,2026-03-12,日昇電器,怡君,耗材 E,1,8.8,8.8,現金,長期客戶
S0029,2026-03-25,建興汽車,大維,工業機台 B,5,13.2,66.0,現金,急件
S0030,2026-03-02,正茂興業,志強,維修服務 F,7,27.5,192.5,現金,新客戶
S0031,2026-03-27,永泰企業,志強,工業機台 B,2,19.8,39.6,票期 90,
S0032,2026-03-18,建興汽車,志強,顧問服務 G,2,44.0,88.0,月結 30,新客戶
S0033,2026-03-21,聯興食品,大維,維修服務 F,5,8.8,44.0,月結 30,
S0034,2026-03-16,永泰企業,小李,工業機台 A,3,13.2,39.6,現金,合約續約
S0035,2026-03-18,達豪資訊,大維,耗材 E,8,66.0,528.0,月結 30,急件
S0036,2026-03-10,金象運輸,志強,維修服務 F,4,44.0,176.0,現金,介紹來的
S0037,2026-03-06,中華光電,怡君,零組件 D,2,66.0,132.0,月結 60,長期客戶
S0038,2026-03-16,金象運輸,志強,耗材 E,4,88.0,352.0,月結 30,
S0039,2026-04-05,東興倉儲,怡君,維修服務 F,7,3.0,21.0,票期 90,急件
S0040,2026-04-09,維新工業,阿明,工業機台 B,6,48.0,288.0,月結 30,長期客戶
S0041,2026-04-10,達豪資訊,阿明,維修服務 F,6,3.0,18.0,月結 30,長期客戶
S0042,2026-04-12,宏豐建材,怡君,零組件 D,4,3.0,12.0,月結 60,合約續約
S0043,2026-04-09,達豪資訊,阿明,工業機台 A,7,3.0,21.0,票期 90,
S0044,2026-04-10,遠東紡織,志強,維修服務 F,7,4.8,33.6,票期 90,合約續約
S0045,2026-04-12,金象運輸,美玲,工業機台 B,6,36.0,216.0,月結 60,急件
S0046,2026-04-27,永泰企業,阿明,工業機台 A,6,24.0,144.0,現金,合約續約
S0047,2026-04-01,合誠塑膠,小李,耗材 E,8,3.0,24.0,月結 30,急件
S0048,2026-04-22,安和五金,美玲,顧問服務 G,8,48.0,384.0,票期 90,長期客戶
S0049,2026-04-17,金象運輸,志強,維修服務 F,4,10.8,43.2,月結 30,
S0050,2026-04-16,元利國際,志強,顧問服務 G,7,10.8,75.6,現金,急件
